"","ImageNumber","ObjectNumber","Metadata_FileLocation","Metadata_FolderName","Metadata_Frame","Metadata_Series","Intensity_IntegratedIntensityEdge_rescalecy5channel","Intensity_IntegratedIntensityEdge_rescaledapichannel","Intensity_IntegratedIntensityEdge_rescalegfpchannel","Intensity_IntegratedIntensityEdge_rescalemcherrychannel","Intensity_IntegratedIntensity_rescalecy5channel","Intensity_IntegratedIntensity_rescaledapichannel","Intensity_IntegratedIntensity_rescalegfpchannel","Intensity_IntegratedIntensity_rescalemcherrychannel","Intensity_LowerQuartileIntensity_rescalecy5channel","Intensity_LowerQuartileIntensity_rescaledapichannel","Intensity_LowerQuartileIntensity_rescalegfpchannel","Intensity_LowerQuartileIntensity_rescalemcherrychannel","Intensity_MADIntensity_rescalecy5channel","Intensity_MADIntensity_rescaledapichannel","Intensity_MADIntensity_rescalegfpchannel","Intensity_MADIntensity_rescalemcherrychannel","Intensity_MassDisplacement_rescalecy5channel","Intensity_MassDisplacement_rescaledapichannel","Intensity_MassDisplacement_rescalegfpchannel","Intensity_MassDisplacement_rescalemcherrychannel","Intensity_MaxIntensityEdge_rescalecy5channel","Intensity_MaxIntensityEdge_rescaledapichannel","Intensity_MaxIntensityEdge_rescalegfpchannel","Intensity_MaxIntensityEdge_rescalemcherrychannel","Intensity_MaxIntensity_rescalecy5channel","Intensity_MaxIntensity_rescaledapichannel","Intensity_MaxIntensity_rescalegfpchannel","Intensity_MaxIntensity_rescalemcherrychannel","Intensity_MeanIntensityEdge_rescalecy5channel","Intensity_MeanIntensityEdge_rescaledapichannel","Intensity_MeanIntensityEdge_rescalegfpchannel","Intensity_MeanIntensityEdge_rescalemcherrychannel","Intensity_MeanIntensity_rescalecy5channel","Intensity_MeanIntensity_rescaledapichannel","Intensity_MeanIntensity_rescalegfpchannel","Intensity_MeanIntensity_rescalemcherrychannel","Intensity_MedianIntensity_rescalecy5channel","Intensity_MedianIntensity_rescaledapichannel","Intensity_MedianIntensity_rescalegfpchannel","Intensity_MedianIntensity_rescalemcherrychannel","Intensity_MinIntensityEdge_rescalecy5channel","Intensity_MinIntensityEdge_rescaledapichannel","Intensity_MinIntensityEdge_rescalegfpchannel","Intensity_MinIntensityEdge_rescalemcherrychannel","Intensity_MinIntensity_rescalecy5channel","Intensity_MinIntensity_rescaledapichannel","Intensity_MinIntensity_rescalegfpchannel","Intensity_MinIntensity_rescalemcherrychannel","Intensity_StdIntensityEdge_rescalecy5channel","Intensity_StdIntensityEdge_rescaledapichannel","Intensity_StdIntensityEdge_rescalegfpchannel","Intensity_StdIntensityEdge_rescalemcherrychannel","Intensity_StdIntensity_rescalecy5channel","Intensity_StdIntensity_rescaledapichannel","Intensity_StdIntensity_rescalegfpchannel","Intensity_StdIntensity_rescalemcherrychannel","Intensity_UpperQuartileIntensity_rescalecy5channel","Intensity_UpperQuartileIntensity_rescaledapichannel","Intensity_UpperQuartileIntensity_rescalegfpchannel","Intensity_UpperQuartileIntensity_rescalemcherrychannel","Location_CenterMassIntensity_X_rescalecy5channel","Location_CenterMassIntensity_X_rescaledapichannel","Location_CenterMassIntensity_X_rescalegfpchannel","Location_CenterMassIntensity_X_rescalemcherrychannel","Location_CenterMassIntensity_Y_rescalecy5channel","Location_CenterMassIntensity_Y_rescaledapichannel","Location_CenterMassIntensity_Y_rescalegfpchannel","Location_CenterMassIntensity_Y_rescalemcherrychannel","Location_CenterMassIntensity_Z_rescalecy5channel","Location_CenterMassIntensity_Z_rescaledapichannel","Location_CenterMassIntensity_Z_rescalegfpchannel","Location_CenterMassIntensity_Z_rescalemcherrychannel","Location_Center_X","Location_Center_Y","Location_Center_Z","Location_MaxIntensity_X_rescalecy5channel","Location_MaxIntensity_X_rescaledapichannel","Location_MaxIntensity_X_rescalegfpchannel","Location_MaxIntensity_X_rescalemcherrychannel","Location_MaxIntensity_Y_rescalecy5channel","Location_MaxIntensity_Y_rescaledapichannel","Location_MaxIntensity_Y_rescalegfpchannel","Location_MaxIntensity_Y_rescalemcherrychannel","Location_MaxIntensity_Z_rescalecy5channel","Location_MaxIntensity_Z_rescaledapichannel","Location_MaxIntensity_Z_rescalegfpchannel","Location_MaxIntensity_Z_rescalemcherrychannel","Number_Object_Number"
"1682",95,7,NA,"-Treatment",0,0,142680,222894,109777,35001,2554515,5994501,1760607,586379,871,1886.5,672,218,135,513,29,10,0.870181958335473,1.59699543580322,0.174601750557964,0.419979756138329,1631,1667,795,262,1816,3743,862,419,891.75,1393.0875,686.10625,218.75625,571.140693503388,2389.32124352332,701.716620167397,28.7102431247509,994,2412,701,226,545,1218,580,204,545,1218,545,204,169.687064916569,100.679155458069,44.7544127538001,9.71258647001405,201.6787311936,609.284545074278,43.6866059158229,24.6635741105019,1149,2916,731,241,1138.15737781927,1137.42590445364,1138.84827505514,1138.88320864151,310.776308614355,310.828616167293,310.857724637014,310.475390489769,0,0,0,0,1139.02231964926,310.87166201674,0,1130,1129,1113,1133,309,309,324,296,0,0,0,0,7
"1683",95,8,NA,"-Treatment",0,0,104701,204645,104997,30822,1867936,4854735,1360253,450419,911,2271.5,735,227,144.5,486.5,32,18,0.544680185935486,0.525651939411277,0.0366049658471724,0.367583940026344,1226,1812,866,287,1863,4617,934,567,753.244604316547,1472.26618705036,755.374100719424,221.741007194245,606.545403271292,2738.31979695431,767.204173716864,49.043429216018,1053.5,2745.5,765,242,535,1180,637,201,535,1180,621,201,148.117629791525,132.340012032423,45.4711978380204,12.2599764863556,211.409816041473,701.91662502845,45.7178014076225,41.9025785493746,1199,3237,798.75,266,138.183497186199,137.440760026537,137.949349128434,137.572034039417,367.242507773286,367.561997519691,367.694135576249,367.749035897686,0,0,0,0,137.939086294416,367.729272419628,0,143,132,138,141,358,364,379,377,0,0,0,0,8
"1684",95,9,NA,"-Treatment",0,0,63473,185300,91471,26617,782825,3496251,1127243,338053,511,2065,736,216,22,332,31,6,0.0200875693307531,0.605167382921618,0.0236812129931387,0.138017134460326,609,2601,893,334,638,3701,923,555,528.941666666667,1544.16666666667,762.258333333333,221.808333333333,85.5340136054422,2378.61020408163,766.831972789116,24.9680272108843,533,2418,766,220,434,1134,639,207,419,1134,627,205,34.0762125813431,312.288710793216,46.8064268794599,18.6231468130985,31.754198386725,489.600443543146,44.9175169781484,31.5125231264521,554,2725,798,230,197.609345639191,197.993900285338,197.611332250455,197.466968197295,378.705952160445,379.149858560864,378.663643065426,378.678544488586,0,0,0,0,197.604761904762,378.686394557823,0,191,209,201,212,379,381,376,371,0,0,0,0,9
"1685",95,10,NA,"-Treatment",0,0,121387,234111,116074,37223,2048202,4146112,1586237,530538,773,1623,664,218,116,185,28,8,1.05024676871935,0.865640061090537,0.0812098174568152,0.297335566307836,1075,1580,812,305,1489,2536,860,423,714.041176470588,1377.12352941176,682.788235294118,218.958823529412,446.630890052356,1809.08289703316,692.075479930192,26.4738219895288,883,1814,692,225,498,1167,579,205,498,1167,551,204,108.994136695099,72.4512170921337,42.2148828279782,12.5127492076507,170.487256914008,255.585773017435,42.6129540049496,22.6972200914024,1003,1995,720,236,1140.12362061945,1140.31641527699,1140.40095269496,1140.30637390724,412.461578496652,412.605030896547,413.393983370707,413.19886605672,0,0,0,0,1140.44720767888,413.460732984293,0,1133,1143,1125,1134,399,387,394,423,0,0,0,0,10
"1686",95,11,NA,"-Treatment",0,0,69184,197599,100003,28694,872953,3749574,1258275,375532,506,1929,731,215,23,339,31,6,0.0367140551909083,0.724433393927515,0.0588916810971265,0.130453481878159,642,2618,873,275,666,3532,948,619,524.121212121212,1496.96212121212,757.598484848485,217.378787878788,82.7044902912621,2275.41262135922,763.516383495146,22.871359223301,528,2308,762,219,440,1215,673,202,436,1215,628,202,36.2115062709293,270.144248933536,39.5968050150676,11.459765124669,34.6499580301011,485.943817806135,44.8322220020304,31.1440702501254,552,2614,793,228,223.015641162812,223.673326613118,223.024758498738,223.040760840621,406.044631268808,405.843013643103,406.018579404343,405.942492250993,0,0,0,0,222.981796116505,406.058859223301,0,220,228,221,215,414,413,413,407,0,0,0,0,11
"1687",95,12,NA,"-Treatment",0,0,115620,223886,117694,35070,2151035,5212472,1840659,565486,791,1939,723,217,85,205,31,8,0.260990960739843,0.0664173605906439,0.0490845619499866,0.214109698377921,980,1663,861,312,1450,3252,903,421,727.169811320755,1408.08805031447,740.213836477987,220.566037735849,433.128887070376,2132.88788870704,753.13379705401,26.3772504091653,873,2185,752,224,539,1207,621,202,539,1207,619,202,91.9471551502056,82.5280119128455,43.1873736468674,17.2898080647766,127.672277628568,339.657548297079,44.1964779293531,23.3385228973948,960,2365,784,237,75.3339931707294,75.461264607854,75.4331448682238,75.4633660249768,420.924129082047,421.082381409682,421.113242594093,420.934452842334,0,0,0,0,75.4672667757774,421.14852700491,0,54,58,73,74,419,414,410,399,0,0,0,0,12
"1688",95,13,NA,"-Treatment",0,0,140892,268946,130535,42214,2334857,5772204,1842772,612775,780,1846,665,218,94,316,27,8,0.364305253299295,1.48030279663549,0.148787083692814,0.105221677031519,1069,1664,808,289,1522,3306,854,410,733.8125,1400.76041666667,679.869791666667,219.864583333333,430.106311044328,2168.48610067618,692.250939143501,25.1934635612322,869,2194,691,225,512,1221,597,203,512,1221,530,203,119.130120780109,82.9768096106359,38.4268613184831,13.7406178533957,143.557119203716,431.844236267363,41.4611889914118,19.8110473763124,967,2484.5,719,236,1179.0533989876,1179.02893871124,1179.33838803715,1179.28989596508,451.4038778392,452.989611797987,451.693998497915,451.509678103709,0,0,0,0,1179.38580015026,451.552967693464,0,1182,1172,1175,1167,427,473,460,487,0,0,0,0,13
"1689",95,15,NA,"-Treatment",0,0,119873,300063,167439,51061,2411046,7516995,3424326,1086913,512,1535,730,222,23,126,29,8,0.0858186277781322,0.0882492153675116,0.0389631292368762,0.128267561960129,619,1569,885,474,666,2555,933,699,537.547085201794,1345.57399103139,750.847533632287,228.973094170404,88.5499777876499,1669.76921368281,760.62327854287,36.4289204797868,534,1661,759,228,449,1194,624,208,408,1194,602,205,34.2982994260924,80.7009240601454,42.7475022816086,32.4643881169395,34.3273959745435,198.782133413492,44.4403100251672,44.9414811630889,558,1786,789,240,100.90953594415,100.945029605706,100.963059299845,100.83760889786,509.98714458372,509.982020674708,510.095007893524,510.154619550967,0,0,0,0,100.933585073301,510.069524655709,0,127,81,136,79,484,511,516,506,0,0,0,0,15
"1690",95,16,NA,"-Treatment",0,0,57773,111765,95495,22514,458747,3447168,795680,191448,659,2569,1119,236,48,2211,107,26,0.606692199263173,0.472037087956276,0.748117650484563,1.8854917690826,893,1827,1600,418,967,11925,1651,623,696.060240963855,1346.56626506024,1150.5421686747,271.253012048193,260.942901234568,5320.17592592593,1227.9012345679,90.4444444444445,705,5762,1250,256,515,1042,785,215,515,1042,785,215,92.9804163080022,194.633309397477,242.745803939505,50.8403699221311,72.8117911118534,2779.10611959823,169.382409769186,84.3580698606677,753,7241,1349,331,513.221751858868,513.283966173494,513.185286798713,511.164859387405,521.519438819218,520.785881198814,521.702341393525,520.227565709749,0,0,0,0,512.875,521.021604938272,0,521,515,504,501,534,521,525,521,0,0,0,0,16
"1691",95,17,NA,"-Treatment",0,0,116809,256018,135322,38753,2244401,7758947,2229056,675354,607,2449.75,747,219,86,288.5,31,9,0.811249220806017,0.438357905189017,0.0654396884800044,0.0953615107552745,2417,1827,892,398,6235,4436,937,537,667.48,1462.96,773.268571428571,221.445714285714,336.933286762138,2710.18267551519,778.573524275236,30.8903248340901,675,2751.5,779,227,473,1180,658,205,469,1180,649,204,246.302644031977,143.698587725439,46.15875568655,22.8904514448042,386.376348384459,555.884748676319,44.8884839887655,29.5134462153926,818.25,3027,809,240,455.418287106448,455.131396024849,454.763346456976,454.711437261051,583.151656499886,583.592516960073,583.531704452468,583.430882174386,0,0,0,0,454.698218651764,583.52532308767,0,471,471,445,457,576,577,599,572,0,0,0,0,17
